Instance,Income
111994,34277.19853717359
111995,24583.90756593529
111996,50238.77657346071
111997,123234.95052395477
111998,24525.70415391467
111999,82566.11186412406
112000,93596.507887145
112001,56902.51231959122
112002,36778.72342122806
112003,96413.61217634361
112004,20781.66386286538
112005,162747.0726892253
112006,11594.536293162304
112007,108788.72656479928
112008,270490.19697553135
112009,74535.07542991501
112010,55056.77760014733
112011,22023.70771361145
112012,34077.18829093657
112013,35984.120040569884
112014,125445.35414795755
112015,42676.844371667794
112016,48048.3853933526
112017,22670.796196349642
112018,167731.91816912993
112019,62646.69026473196
112020,23959.379660253693
112021,18040.202839105837
112022,89340.7716287516
112023,60370.647544416555
112024,15128.948194040831
112025,82122.47398059246
112026,63241.706607537766
112027,62022.31233585533
112028,33250.00141117136
112029,61444.88641038549
112030,155495.34416324663
112031,219871.3678635353
112032,208405.67543321656
112033,104426.94269078113
112034,238840.06335307666
112035,102151.43963585654
112036,185905.61275081677
112037,124794.04948321843
112038,215887.7765796952
112039,49699.291511828094
112040,66774.6384074794
112041,50465.540541455666
112042,36607.45196896126
112043,53528.54818372664
112044,31945.531381166264
112045,33795.21743890775
112046,256116.29024470836
112047,27302.921267898397
112048,16621.447828770553
112049,104703.437012555
112050,39845.79443209476
112051,65727.10921892474
112052,127092.45675097797
112053,190449.9888939127
112054,65766.67932103544
112055,22057.036122234327
112056,89039.99849251636
112057,32620.501946612338
112058,58631.24817645028
112059,33831.023062588174
112060,264284.66201783606
112061,154861.58018530722
112062,208187.67712328234
112063,65063.40976188089
112064,28124.364585988696
112065,57203.153124785174
112066,24675.207065872633
112067,114283.98015992515
112068,77910.57545908542
112069,251896.9960601018
112070,342674.18915749533
112071,72260.61320418784
112072,83464.44618998998
112073,38688.746730712206
112074,25781.980795361666
112075,24158.083966622427
112076,112903.49554250692
112077,950972.7967749218
112078,20024.970776168764
112079,190985.61313277585
112080,88526.83097729222
112081,781420.0761223147
112082,27347.46580399817
112083,101846.29154505639
112084,32169.674724009292
112085,48372.965647403835
112086,26352.65548614165
112087,63452.67412310376
112088,113796.99169695051
112089,44392.62018389675
112090,180082.86933800424
112091,28713.633341468078
112092,26157.949641667998
112093,87946.89188025177
112094,22492.30896515857
112095,35529.95172554145
112096,114758.90566053198
112097,26111.876746694354
112098,22017.41152975814
112099,34706.94685315135
112100,28684.37523684042
112101,208150.5029032741
112102,22367.52845051454
112103,137054.78840912823
112104,75570.42448044353
112105,53669.65031206356
112106,99622.73252314294
112107,115894.47321435968
